{'timestamp': '2017-07-20 16:44:52', 'ip_address': '111.11.140.157', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '2001-12-27 06:12:39', 'ip_address': '222.12.184.228', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'POST'}
{'timestamp': '2000-05-02 15:00:27', 'ip_address': '103.227.86.249', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '2023-06-10 06:58:52', 'ip_address': '16.177.15.23', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'GET'}
{'timestamp': '2006-02-28 13:06:20', 'ip_address': '135.141.146.174', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '1986-03-04 15:52:33', 'ip_address': '118.49.242.31', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'PUT'}
{'timestamp': '1970-12-27 00:10:35', 'ip_address': '204.22.140.199', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'GET'}
{'timestamp': '2006-08-03 05:14:54', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '1986-03-20 04:26:41', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '1972-08-11 06:31:49', 'ip_address': '98.131.242.123', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '1974-12-06 20:06:08', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'PUT'}
{'timestamp': '1980-11-09 15:01:06', 'ip_address': '158.171.90.94', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'GET'}
{'timestamp': '1973-08-13 10:49:36', 'ip_address': '183.204.219.17', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '1981-03-27 15:46:04', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '2004-01-21 04:09:00', 'ip_address': '114.244.4.0', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'POST'}
{'timestamp': '1986-03-03 09:50:01', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'PUT'}
{'timestamp': '1991-06-29 00:20:07', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'POST'}
{'timestamp': '2004-02-17 02:03:51', 'ip_address': '66.87.78.94', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '1995-06-29 04:58:43', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '1989-05-19 17:22:52', 'ip_address': '109.246.22.44', 'event_type': 'login_success', 'server_response': '200', 'request_method': 'GET'}
{'timestamp': '2006-12-29 22:39:29', 'ip_address': '39.75.216.150', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '1983-06-13 07:14:59', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'GET'}
{'timestamp': '1992-08-03 01:13:38', 'ip_address': '188.89.111.9', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'POST'}
{'timestamp': '1994-10-26 14:05:14', 'ip_address': '29.193.21.38', 'event_type': 'login_failure', 'server_response': '401', 'request_method': 'POST'}
{'timestamp': '1998-02-16 07:51:49', 'ip_address': '107.9.239.182', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
{'timestamp': '1998-02-16 07:51:49', 'ip_address': '29.193.21.38', 'event_type': 'access_denied', 'server_response': '403', 'request_method': 'GET'}
